IdR,nom_repas,date_repas,adr_repas,nom_chevalier_dame
1,Déjeuner des preux #5488,2022-10-12,44 Avenue des Chevaliers,Lancelot de Bretagne
2,Déjeuner des preux #5028,2020-05-16,86 Boulevard du Roi,Perceval de Galles
3,Festin des chevaliers #4898,2007-03-04,91 Boulevard du Roi,Gauvain de Lyonesse
4,Souper d'apparat #6285,2018-12-22,73 Rue de la Paix,Morgane du Lac
5,Dîner de gala #8031,2021-10-12,164 Rue de la Paix,Iseult de Gaule
6,Déjeuner des preux #4024,2015-11-28,107 Rue de la Paix,Perceval Pendragon
7,Dîner de gala #384,2020-10-11,16 Avenue des Chevaliers,Tristan Le Fay
8,Agapes fraternelles #8728,2018-11-17,21 Allée des Preux,Viviane d'Orkney
9,Souper d'apparat #6842,2015-11-17,82 Allée des Preux,Lancelot Le Fay
10,Dîner de gala #571,2010-02-20,172 Rue de la Paix,Morgane Le Fay
11,Souper d'apparat #5336,2006-02-01,85 Boulevard du Roi,Viviane du Lac
12,Déjeuner des preux #3743,2021-01-10,63 Boulevard du Roi,Tristan de Gaule
13,Déjeuner des preux #4602,2024-11-13,16 Place d'Armes,Lancelot du Lac
14,Dîner de gala #9624,2024-11-17,27 Avenue des Chevaliers,Perceval des Îles
15,Souper d'apparat #1842,2006-04-06,101 Chemin des Dames,Gauvain des Îles
16,Banquet royal #965,2011-02-04,109 Avenue des Chevaliers,Arthur de Cornouailles
17,Souper d'apparat #2247,2023-03-10,77 Rue de la Paix,Tristan de Cornouailles
18,Banquet royal #4256,2022-04-28,31 Chemin des Dames,Perceval de Gaule
19,Banquet royal #968,2016-03-11,157 Avenue des Chevaliers,Gauvain d'Orkney
20,Agapes fraternelles #7516,2024-02-01,109 Boulevard du Roi,Lancelot des Îles
21,Festin des chevaliers #2184,2011-10-22,141 Rue de la Paix,Lancelot de Bretagne
22,Banquet royal #1409,2017-10-19,76 Avenue des Chevaliers,Élaine de Lyonesse
23,Souper d'apparat #2522,2003-11-21,191 Rue de la Paix,Morgane de Gaule
24,Dîner de gala #3043,2018-10-18,158 Rue de la Paix,Élaine du Lac
25,Banquet royal #5838,2023-11-30,40 Place d'Armes,Iseult de Galles
26,Agapes fraternelles #1558,2024-02-13,41 Avenue des Chevaliers,Gauvain Le Fay
27,Agapes fraternelles #5911,2015-11-08,128 Allée des Preux,Élaine Le Fay
28,Banquet royal #7585,2018-10-23,1 Place d'Armes,Lancelot d'Orkney
29,Déjeuner des preux #6427,2023-01-21,4 Rue de la Paix,Morgane de Gaule
30,Déjeuner des preux #6314,2024-11-21,162 Rue de la Paix,Arthur de Gaule
31,Agapes fraternelles #5381,2011-10-07,95 Rue de la Paix,Guenièvre de Galles
32,Festin des chevaliers #2418,2020-03-17,48 Place d'Armes,Guenièvre de Gaule
33,Déjeuner des preux #9258,2021-10-10,179 Boulevard du Roi,Arthur de Galles
34,Souper d'apparat #2741,2016-11-08,84 Chemin des Dames,Arthur de Bretagne
35,Banquet royal #7266,2022-03-17,2 Boulevard du Roi,Viviane de Gaule
36,Déjeuner des preux #2317,2012-11-14,191 Place d'Armes,Morgane Le Fay
37,Banquet royal #2036,2024-01-12,51 Avenue des Chevaliers,Gauvain de Bretagne
38,Dîner de gala #1905,2012-03-27,18 Place d'Armes,Viviane des Îles
39,Banquet royal #8899,2017-03-06,161 Allée des Preux,Morgane du Lac
40,Agapes fraternelles #2450,2009-11-25,118 Boulevard du Roi,Tristan d'Orkney
41,Déjeuner des preux #9376,2019-10-13,51 Place d'Armes,Tristan de Galles
42,Festin des chevaliers #233,2018-09-09,77 Avenue des Chevaliers,Élaine des Îles
43,Déjeuner des preux #9087,2008-11-06,52 Rue de la Paix,Viviane de Galles
44,Dîner de gala #7888,2024-03-31,150 Rue de la Paix,Viviane du Lac
45,Déjeuner des preux #8671,2022-11-02,42 Boulevard du Roi,Morgane d'Orkney
46,Festin des chevaliers #4568,2015-10-07,65 Allée des Preux,Arthur du Lac
47,Souper d'apparat #1003,2024-03-24,106 Avenue des Chevaliers,Viviane de Bretagne
48,Banquet royal #1993,2020-12-11,132 Allée des Preux,Morgane de Lyonesse
49,Dîner de gala #9776,2009-10-05,198 Allée des Preux,Élaine de Bretagne
50,Banquet royal #4705,2018-03-20,112 Allée des Preux,Tristan de Cornouailles
51,Déjeuner des preux #6479,2024-11-24,143 Chemin des Dames,Élaine Pendragon
52,Souper d'apparat #8797,2020-04-01,11 Avenue des Chevaliers,Lancelot d'Orkney
53,Banquet royal #9260,2024-04-30,137 Place d'Armes,Lancelot de Gaule
54,Déjeuner des preux #9281,2018-02-04,120 Rue de la Paix,Arthur Pendragon
55,Banquet royal #6213,2013-11-16,27 Avenue des Chevaliers,Élaine de Cornouailles
56,Déjeuner des preux #8044,2018-10-15,53 Chemin des Dames,Lancelot Le Fay
57,Dîner de gala #8463,2009-03-20,18 Avenue des Chevaliers,Perceval de Bretagne
58,Festin des chevaliers #4696,2022-03-27,41 Chemin des Dames,Élaine de Bretagne
59,Souper d'apparat #3767,2018-10-16,148 Boulevard du Roi,Tristan de Bretagne
60,Banquet royal #7855,2024-04-26,126 Rue de la Paix,Iseult d'Orkney
61,Agapes fraternelles #4089,2017-04-07,37 Allée des Preux,Viviane de Bretagne
62,Festin des chevaliers #9221,2023-11-17,131 Place d'Armes,Arthur de Gaule
63,Dîner de gala #8049,2019-05-02,65 Place d'Armes,Iseult de Bretagne
64,Déjeuner des preux #7115,2023-07-24,104 Boulevard du Roi,Lancelot d'Orkney
65,Souper d'apparat #849,2022-11-05,186 Boulevard du Roi,Élaine du Lac
66,Agapes fraternelles #7616,2011-12-12,44 Rue de la Paix,Iseult de Gaule
67,Dîner de gala #8276,2013-03-21,187 Rue de la Paix,Arthur de Gaule
68,Banquet royal #8067,2021-03-31,170 Avenue des Chevaliers,Guenièvre de Cornouailles
69,Banquet royal #7993,2023-11-07,34 Allée des Preux,Iseult d'Orkney
70,Souper d'apparat #2086,2013-03-26,131 Boulevard du Roi,Viviane de Lyonesse
71,Déjeuner des preux #544,2013-04-19,126 Rue de la Paix,Élaine Pendragon
72,Souper d'apparat #2073,2005-11-28,5 Boulevard du Roi,Guenièvre de Lyonesse
73,Festin des chevaliers #3179,2021-10-09,64 Chemin des Dames,Viviane d'Orkney
74,Agapes fraternelles #532,2024-10-27,48 Allée des Preux,Tristan de Cornouailles
75,Festin des chevaliers #1937,2019-11-04,109 Chemin des Dames,Guenièvre de Bretagne
76,Dîner de gala #1266,2020-04-19,32 Avenue des Chevaliers,Morgane du Lac
77,Banquet royal #4064,2019-10-09,104 Rue de la Paix,Tristan du Lac
78,Souper d'apparat #4085,2009-08-15,63 Place d'Armes,Perceval de Gaule
79,Festin des chevaliers #8349,2022-03-03,110 Avenue des Chevaliers,Guenièvre de Cornouailles
80,Festin des chevaliers #9944,2019-06-06,40 Boulevard du Roi,Morgane de Cornouailles
81,Dîner de gala #8203,2022-11-19,122 Allée des Preux,Guenièvre de Cornouailles
82,Dîner de gala #6655,2020-12-23,186 Chemin des Dames,Perceval de Galles
83,Déjeuner des preux #4730,2021-06-19,125 Boulevard du Roi,Arthur de Cornouailles
84,Déjeuner des preux #169,2021-04-11,144 Rue de la Paix,Gauvain de Cornouailles
85,Déjeuner des preux #35,2010-11-03,50 Boulevard du Roi,Viviane de Galles
86,Dîner de gala #8920,2022-10-07,39 Rue de la Paix,Guenièvre de Gaule
